Find 13400 frequent item sets !!!
Including 157 1-item frequent set
rubbing alcohol, support: 10
hair spray, support: 11
frozen fruits, support: 12
cream, support: 13
honey, support: 15
decalcifier, support: 15
organic products, support: 16
specialty vegetables, support: 17
ready soups, support: 18
flower soil/fertilizer, support: 19
prosecco, support: 20
cocoa drinks, support: 22
organic sausage, support: 22
pudding powder, support: 23
tidbits, support: 23
cooking chocolate, support: 25
soap, support: 26
bathroom cleaner, support: 27
cookware, support: 27
potato products, support: 28
fish, support: 29
snack products, support: 30
nut snack, support: 31
artif. sweetener, support: 32
canned fruit, support: 32
syrup, support: 32
nuts/prunes, support: 33
abrasive cleaner, support: 35
skin care, support: 35
specialty fat, support: 36
tea, support: 38
brandy, support: 41
light bulbs, support: 41
meat spreads, support: 42
ketchup, support: 42
rum, support: 44
male cosmetics, support: 45
curd cheese, support: 50
cleaner, support: 50
liver loaf, support: 50
spices, support: 51
jam, support: 53
softener, support: 54
sauces, support: 54
sparkling wine, support: 55
cereals, support: 56
dental care, support: 57
kitchen towels, support: 59
female sanitary products, support: 60
finished products, support: 64
vinegar, support: 64
soups, support: 67
zwieback, support: 68
popcorn, support: 71
instant coffee, support: 73
rice, support: 75
liquor (appetizer), support: 78
Instant food products, support: 79
turkey, support: 80
house keeping products, support: 82
frozen potato products, support: 83
specialty cheese, support: 84
dog food, support: 84
candles, support: 88
sweet spreads, support: 89
chocolate marshmallow, support: 89
mayonnaise, support: 90
photo/film, support: 91
pet care, support: 93
condensed milk, support: 101
roll products , support: 101
flower (seeds), support: 102
dish cleaner, support: 103
frozen dessert, support: 106
salt, support: 106
canned vegetables, support: 106
liquor, support: 109
spread cheese, support: 110
cling film/bags, support: 112
frozen fish, support: 115
mustard, support: 118
packaged fruit/vegetables, support: 128
cake bar, support: 130
seasonal products, support: 140
canned fish, support: 148
pasta, support: 148
herbs, support: 160
processed cheese, support: 163
soft cheese, support: 168
pot plants, support: 170
flour, support: 171
dishes, support: 173
semi-finished bread, support: 174
baking powder, support: 174
pickled vegetables, support: 176
white wine, support: 187
detergent, support: 189
red/blush wine, support: 189
chewing gum, support: 207
grapes, support: 220
cat food, support: 229
hard cheese, support: 241
sliced cheese, support: 241
ice cream, support: 246
meat, support: 254
beverages, support: 256
ham, support: 256
specialty bar, support: 269
butter milk, support: 275
oil, support: 276
misc. beverages, support: 279
frozen meals, support: 279
candy, support: 294
specialty chocolate, support: 299
onions, support: 305
hygiene articles, support: 324
hamburger meat, support: 327
berries, support: 327
UHT-milk, support: 329
sugar, support: 333
dessert, support: 365
long life bakery product, support: 368
salty snack, support: 372
waffles, support: 378
cream cheese , support: 390
white bread, support: 414
chicken, support: 422
frozen vegetables, support: 473
chocolate, support: 488
napkins, support: 515
beef, support: 516
curd, support: 524
butter, support: 545
pork, support: 567
coffee, support: 571
margarine, support: 576
frankfurter, support: 580
domestic eggs, support: 624
brown bread, support: 638
whipped/sour cream, support: 705
fruit/vegetable juice, support: 711
pip fruit, support: 744
canned beer, support: 764
newspapers, support: 785
bottled beer, support: 792
citrus fruit, support: 814
pastry, support: 875
sausage, support: 924
shopping bags, support: 969
tropical fruit, support: 1032
root vegetables, support: 1072
bottled water, support: 1087
yogurt, support: 1372
soda, support: 1715
rolls/buns, support: 1809
other vegetables, support: 1903
whole milk, support: 2513

Including 2980 2-item frequent set
honey, whole milk, support: 11
whole milk, cocoa drinks, support: 13
whole milk, pudding powder, support: 13
tidbits, soda, support: 10
tidbits, rolls/buns, support: 12
cooking chocolate, whole milk, support: 13
soap, whole milk, support: 11
bathroom cleaner, other vegetables, support: 10
bathroom cleaner, soda, support: 10
potato products, pastry, support: 10
potato products, whole milk, support: 12
rolls/buns, snack products, support: 11
soda, snack products, support: 11
soda, nut snack, support: 10
other vegetables, artif. sweetener, support: 10
whole milk, artif. sweetener, support: 11
yogurt, artif. sweetener, support: 11
canned fruit, citrus fruit, support: 11
canned fruit, other vegetables, support: 11
canned fruit, whole milk, support: 13
other vegetables, syrup, support: 11
nuts/prunes, rolls/buns, support: 10
whole milk, nuts/prunes, support: 12
yogurt, abrasive cleaner, support: 10
sausage, abrasive cleaner, support: 10
abrasive cleaner, root vegetables, support: 13
abrasive cleaner, whole milk, support: 16
other vegetables, abrasive cleaner, support: 16
skin care, yogurt, support: 10
skin care, other vegetables, support: 12
skin care, rolls/buns, support: 14
skin care, whole milk, support: 16
other vegetables, specialty fat, support: 11
specialty fat, margarine, support: 12
whole milk, specialty fat, support: 12
tea, rolls/buns, support: 11
bottled beer, tea, support: 11
tropical fruit, tea, support: 13
other vegetables, tea, support: 15
tea, whole milk, support: 16
brandy, rolls/buns, support: 11
shopping bags, brandy, support: 13
yogurt, light bulbs, support: 12
other vegetables, light bulbs, support: 13
meat spreads, cream cheese , support: 11
meat spreads, whole milk, support: 13
meat spreads, rolls/buns, support: 13
meat spreads, soda, support: 14
meat spreads, yogurt, support: 18
yogurt, ketchup, support: 11
domestic eggs, ketchup, support: 13
soda, ketchup, support: 13
whole milk, ketchup, support: 15
other vegetables, ketchup, support: 15
rum, other vegetables, support: 15
rum, whole milk, support: 17
male cosmetics, yogurt, support: 10
male cosmetics, bottled water, support: 13
root vegetables, curd cheese, support: 10
yogurt, curd cheese, support: 13
tropical fruit, curd cheese, support: 15
curd cheese, rolls/buns, support: 16
other vegetables, curd cheese, support: 21
whole milk, curd cheese, support: 23
soda, cleaner, support: 11
yogurt, cleaner, support: 16
other vegetables, cleaner, support: 16
whole milk, cleaner, support: 23
sausage, liver loaf, support: 10
liver loaf, frozen vegetables, support: 10
liver loaf, soda, support: 11
liver loaf, root vegetables, support: 14
liver loaf, other vegetables, support: 15
liver loaf, rolls/buns, support: 15
yogurt, liver loaf, support: 15
